LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
32m         Normal    Scheduled               pod/shared-writer-6f4b987c7b-n2f9j        Successfully assigned dso202-practical-02/shared-writer-6f4b987c7b-n2f9j to worker-node-2
32m         Normal    Pulled                  pod/shared-writer-6f4b987c7b-4ksq6        Container image "busybox:1.37" already present on machine and can be accessed by the pod
32m         Normal    Created                 pod/shared-writer-6f4b987c7b-4ksq6        Container created
32m         Normal    Started                 pod/shared-writer-6f4b987c7b-4ksq6        Container started
32m         Normal    Pulled                  pod/shared-writer-6f4b987c7b-7mgrd        Container image "busybox:1.37" already present on machine and can be accessed by the pod
32m         Normal    Created                 pod/shared-writer-6f4b987c7b-7mgrd        Container created
32m         Normal    Started                 pod/shared-writer-6f4b987c7b-7mgrd        Container started
32m         Normal    Started                 pod/shared-writer-6f4b987c7b-n2f9j        Container started
31m         Normal    Killing                 pod/shared-writer-6f4b987c7b-4ksq6        Stopping container writer
31m         Normal    Killing                 pod/shared-writer-6f4b987c7b-7mgrd        Stopping container writer
31m         Normal    Killing                 pod/shared-writer-6f4b987c7b-n2f9j        Stopping container writer
28m         Normal    WaitForFirstConsumer    persistentvolumeclaim/content-webnote-0   waiting for first consumer to be created before binding
28m         Normal    ExternalProvisioning    persistentvolumeclaim/content-webnote-0   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
28m         Normal    SuccessfulCreate        statefulset/webnote                       Create Claim content-webnote-0 Pod webnote-0 in StatefulSet webnote success
28m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-0 in StatefulSet webnote successful
28m         Normal    Provisioning            persistentvolumeclaim/content-webnote-0   External provisioner is provisioning volume for claim "dso202-practical-02/content-webnote-0"
28m         Normal    ProvisioningSucceeded   persistentvolumeclaim/content-webnote-0   Successfully provisioned volume pvc-3c7a8c0e-6141-4a31-be12-8bf3587ef791
28m         Normal    Created                 pod/webnote-0                             Container created
28m         Normal    Scheduled               pod/webnote-0                             Successfully assigned dso202-practical-02/webnote-0 to worker-node-2
28m         Normal    Pulled                  pod/webnote-0                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
28m         Normal    Pulling                 pod/webnote-0                             Pulling image "nginx:1.30-alpine"
28m         Normal    Started                 pod/webnote-0                             Container started
28m         Normal    Created                 pod/webnote-0                             Container created
28m         Normal    Pulled                  pod/webnote-0                             Successfully pulled image "nginx:1.30-alpine" in 24.759s (24.759s including waiting). Image size: 28746131 bytes.
28m         Normal    Started                 pod/webnote-0                             Container started
